Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
GUF,41_11_13_29_12_7_6_32_35,254,254,French Guyana,0,138,-,-,138,48.5,43.9,5.4
PYF,41_11_13_29_12_7_6_32_35,258,258,French Polynesia,0,234,-,-,234,60.4,82.4,6.7
DJI,41_11_13_29_12_7_6_32_35,262,262,Djibouti,0,192,-,-,192,22.3,18.9,2.6
GAB,41_11_13_29_12_7_6_32_35,266,266,Gabon,0,441,-,-,441,26.9,18.9,2.9
GEO,41_11_13_29_12_7_6_32_35,268,268,Georgia,0,3561,-,-,3561,48.7,89.7,5.7
GMB,41_11_13_29_12_7_6_32_35,270,270,The Republic of the Gambia,0,409,-,-,409,27.5,16.0,2.9
PSE,41_11_13_29_12_7_6_32_35,275,275,Gaza Strip and West Bank,0,1487,-,-,1487,46.8,27.8,5.2
DEU,41_11_13_29_12_7_6_32_35,276,276,Germany,0,151414,-,-,151414,66.9,180.5,7.6
GHA,41_11_13_29_12_7_6_32_35,288,288,Ghana,0,7107,-,-,7107,32.6,21.9,3.4
GRC,41_11_13_29_12_7_6_32_35,300,300,Greece,0,17702,-,-,17702,64.1,171.6,7.3
GLP,41_11_13_29_12_7_6_32_35,312,312,"France, Guadeloupe",0,584,-,-,584,64.6,146.1,7.4
GUM,41_11_13_29_12_7_6_32_35,316,316,Guam,0,129,-,-,129,52.4,75.2,5.9
GTM,41_11_13_29_12_7_6_32_35,320,320,Guatemala,0,6194,-,-,6194,43.8,33.3,4.9
GIN,41_11_13_29_12_7_6_32_35,324,324,Guinea,0,2322,-,-,2322,31.4,16.8,3.4
GUY,41_11_13_29_12_7_6_32_35,328,328,Guyana,0,202,-,-,202,23.2,25.4,2.7
HTI,41_11_13_29_12_7_6_32_35,332,332,Haiti,0,4012,-,-,4012,41.1,34.4,3.9
HND,41_11_13_29_12_7_6_32_35,340,340,Honduras,0,2965,-,-,2965,36.1,29.0,4.2
HUN,41_11_13_29_12_7_6_32_35,348,348,Hungary,0,19757,-,-,19757,99.3,205.7,10.9
ISL,41_11_13_29_12_7_6_32_35,352,352,Iceland,0,486,-,-,486,69.9,140.7,7.9
IND,41_11_13_29_12_7_6_32_35,356,356,India,0,335309,-,-,335309,23.5,23.8,2.7
IDN,41_11_13_29_12_7_6_32_35,360,360,Indonesia,0,90802,-,-,90802,30.7,32.5,3.4
IRN,41_11_13_29_12_7_6_32_35,364,364,"Iran, Islamic Republic of",0,50853,-,-,50853,55.8,59.1,6.4
