variable,mean,median,standard_deviation,min,max,iqr
asr_world,16.18346820809249,12.4,10.936089262927398,0.24,48.1,18.299999999999997
obesity_value,21.83150289017342,21.78,10.891184297522834,2.02,62.43,17.08
activity_value,72.87086705202317,75.72,13.091063073080997,33.86,97.3,19.64
gdp_per_capita_2022,16674.82120242495,6515.58528418336,23570.366266381134,302.992505263552,123719.658915996,18485.24332610181
log_gdp,8.802181251387635,8.781952321929632,1.434769444574671,5.7137080700996625,11.72577346989249,2.18853339522068
