country_name,country_code,obesity_value,obesity_high,obesity_low,activity_value,activity_high,activity_low,gdp_per_capita_2022,asr_world,new_cases,crude_rate
Gabon,GAB,21.02,25.09,17.37,79.18,92.85,59.76,8409.2074145028,6.8,109,4.7
Georgia,GEO,34.66,38.91,30.38,75.98,84.72,65.38,6729.84659930283,14.5,1125,28.4
The Republic of the Gambia,GMB,14.93,17.97,12.27,78.85,90.05,64.41,836.244875868476,2.6,37,1.5
Gaza Strip and West Bank,PSE,37.56,40.25,34.87,70.3,78.1,61.18,3799.95527015163,18.3,553,10.4
Germany,DEU,20.4,23.6,17.31,88.02,90.8,84.85,50506.5179638543,25.7,62544,74.6
Ghana,GHA,12.93,14.88,11.12,78.84,88.12,67.17,2229.89122647803,4.7,986,3.0
Greece,GRC,27.98,31.35,24.73,64.8,72.81,56.32,20886.5243087629,26.8,7859,76.2
"France, Guadeloupe",GLP,,,,,,,,22.8,200,50.0
Guam,GUM,,,,,,,41833.1517132825,16.0,41,23.9
Guatemala,GTM,26.81,30.34,23.54,63.17,76.14,49.32,5358.70156997677,6.2,894,4.8
Guinea,GIN,9.53,12.19,7.3,83.3,94.96,65.61,1416.59612011764,2.8,201,1.5
Guyana,GUY,28.46,32.76,24.47,64.92,76.76,52.54,17913.4928066879,8.8,79,10.0
Haiti,HTI,10.69,13.33,8.37,71.7,89.22,50.51,1760.62635668777,11.3,1103,9.4
Honduras,HND,29.49,36.48,23.35,63.22,83.87,40.85,3003.28996826399,7.1,570,5.6
Hungary,HUN,31.7,34.68,28.74,70.59,77.8,62.73,18428.028825614,44.2,9607,100.0
Iceland,ISL,21.23,26.23,16.66,74.08,90.16,53.34,76350.4550416502,31.0,215,62.3
India,IND,7.27,8.09,6.51,50.58,61.6,39.05,2347.44829434623,4.9,70038,5.0
Indonesia,IDN,11.23,13.1,9.51,81.0,87.96000000000001,72.88,4730.83484836107,12.1,35676,12.8
"Iran, Islamic Republic of",IRN,24.27,25.93,22.7,53.72,62.21,45.59,4721.20437099984,13.9,12899,15.0
Iraq,IRQ,40.49,45.24,36.04,47.98,61.51,34.519999999999996,6520.73154560584,8.9,2320,5.5
